FIELD1,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk,Point_Based_Result,Decision_Tree_Result
886,34,male,2,own,NA,moderate,2825,24,business,good,False,True
887,23,male,2,own,little,moderate,15672,48,business,bad,False,False
888,34,male,3,own,little,NA,6614,36,car,good,False,True
889,40,male,2,rent,NA,NA,7824,28,car,good,False,False
890,43,male,3,own,little,little,2442,27,business,good,True,True
891,46,male,2,own,little,NA,1829,15,radio/TV,good,True,True
892,38,male,1,own,little,little,2171,12,car,good,True,True
893,34,male,2,own,little,moderate,5800,36,car,good,False,True
894,29,male,2,own,NA,NA,1169,18,radio/TV,good,True,True
895,31,male,3,own,NA,NA,8947,36,car,good,False,False
896,28,female,3,rent,little,little,2606,21,radio/TV,good,True,True
897,35,female,2,own,rich,NA,1592,12,furniture/equipment,good,True,True
898,33,female,1,rent,NA,NA,2186,15,furniture/equipment,good,True,True
899,42,male,2,own,little,little,4153,18,furniture/equipment,bad,False,False
900,43,male,2,rent,little,little,2625,16,car,bad,False,False
901,44,male,2,own,NA,NA,3485,20,car,good,True,True
902,42,male,2,free,NA,NA,10477,36,car,good,False,False
903,40,male,2,rent,NA,NA,1386,15,radio/TV,good,True,True
904,36,male,3,own,little,NA,1278,24,radio/TV,good,False,True
905,20,male,3,rent,little,little,1107,12,radio/TV,good,True,True
906,24,male,1,own,NA,little,3763,21,car,good,False,True
907,27,male,2,own,NA,moderate,3711,36,education,good,False,True
908,46,female,1,own,little,NA,3594,15,car,good,True,True
909,33,female,1,own,NA,moderate,3195,9,car,good,True,True
910,34,female,2,own,little,NA,4454,36,radio/TV,good,False,True
911,25,female,1,own,little,moderate,4736,24,furniture/equipment,bad,False,False
912,25,female,2,own,NA,moderate,2991,30,radio/TV,good,False,True
913,28,male,2,own,rich,NA,2142,11,business,good,True,True
914,31,male,2,rent,little,little,3161,24,business,bad,False,False
915,32,female,3,own,little,moderate,18424,48,vacation/others,bad,False,False
916,32,male,2,own,moderate,NA,2848,10,car,good,True,True
917,68,male,3,own,little,little,14896,6,car,bad,False,False
918,33,male,2,own,moderate,little,2359,24,furniture/equipment,bad,False,True
919,39,male,3,rent,little,little,3345,24,furniture/equipment,bad,False,False
920,28,female,2,own,little,NA,1817,18,furniture/equipment,good,True,True
921,37,male,3,own,quite rich,NA,12749,48,radio/TV,good,False,False
922,22,female,2,rent,little,little,1366,9,radio/TV,bad,False,False
923,30,male,2,rent,little,moderate,2002,12,car,good,True,True
924,55,male,2,own,little,little,6872,24,furniture/equipment,bad,False,False
925,46,male,2,own,little,little,697,12,car,bad,False,False
926,21,female,2,rent,little,little,1049,18,furniture/equipment,good,True,True
927,39,male,2,free,little,little,10297,48,car,bad,False,False
928,58,male,2,own,NA,NA,1867,30,radio/TV,good,True,True
929,43,male,1,own,little,little,1344,12,car,good,True,True
930,24,male,1,own,little,little,1747,24,furniture/equipment,good,False,True
931,22,female,2,own,little,moderate,1670,9,radio/TV,bad,False,False
932,30,male,2,own,little,NA,1224,9,car,good,True,True
933,42,male,2,own,quite rich,NA,522,12,radio/TV,good,True,True
934,23,female,2,own,little,little,1498,12,radio/TV,good,True,True
935,30,male,3,own,moderate,moderate,1919,30,radio/TV,bad,False,True
936,28,female,1,own,little,rich,745,9,radio/TV,bad,False,False
937,30,male,3,rent,little,moderate,2063,6,radio/TV,good,True,True
938,42,male,2,free,little,moderate,6288,60,education,bad,False,False
939,46,male,3,own,NA,NA,6842,24,car,good,False,True
940,45,male,3,own,NA,NA,3527,12,car,good,True,True
941,31,male,1,own,little,NA,1546,10,car,good,True,True
942,31,male,2,own,NA,NA,929,24,furniture/equipment,good,False,True
943,42,male,1,own,little,NA,1455,4,car,good,True,True
944,46,female,2,rent,little,little,1845,15,furniture/equipment,good,True,True
945,30,female,2,own,quite rich,moderate,8358,48,car,good,False,False
946,30,male,2,free,quite rich,little,3349,24,furniture/equipment,bad,False,False
947,38,male,3,own,NA,NA,2859,12,car,good,True,True
948,43,male,1,own,little,NA,1533,18,furniture/equipment,bad,False,False
949,31,male,2,own,moderate,NA,3621,24,radio/TV,bad,False,True
950,40,male,0,own,little,moderate,3590,18,business,good,True,True
951,24,male,2,own,little,little,2145,36,business,bad,False,False
952,28,female,2,rent,quite rich,moderate,4113,24,car,bad,False,False
953,26,female,3,own,little,NA,10974,36,furniture/equipment,bad,False,False
954,29,female,2,own,little,little,1893,12,car,good,True,True
955,57,female,3,rent,rich,little,1231,24,radio/TV,good,True,True
956,49,male,1,own,NA,rich,3656,30,radio/TV,good,True,True
957,37,male,1,own,little,moderate,1154,9,radio/TV,good,True,True
958,45,male,1,own,little,little,4006,28,car,bad,False,False
959,30,male,2,free,moderate,moderate,3069,24,furniture/equipment,good,True,True
960,30,male,2,rent,little,NA,1740,6,radio/TV,good,True,True
961,47,male,2,own,little,moderate,2353,21,car,good,True,True
962,29,male,2,own,NA,NA,3556,15,car,good,True,True
963,35,male,2,own,quite rich,NA,2397,24,radio/TV,bad,False,False
964,22,male,1,own,little,moderate,454,6,repairs,good,True,True
965,26,female,2,own,NA,moderate,1715,30,radio/TV,good,False,True
966,23,male,1,own,quite rich,moderate,2520,27,radio/TV,bad,False,False
967,54,female,3,rent,little,NA,3568,15,radio/TV,good,True,True
968,29,male,2,rent,NA,NA,7166,42,radio/TV,good,False,False
969,40,male,1,own,little,little,3939,11,car,good,True,True
970,22,male,2,own,moderate,moderate,1514,15,repairs,good,True,True
971,43,male,1,own,little,NA,7393,24,car,good,False,True
972,29,female,0,rent,little,little,1193,24,car,bad,False,False
973,36,male,2,rent,little,little,7297,60,business,bad,False,False
974,33,female,2,own,little,NA,2831,30,radio/TV,good,False,True
975,57,female,1,own,quite rich,rich,1258,24,radio/TV,good,True,True
976,64,female,2,own,little,moderate,753,6,radio/TV,good,True,True
977,42,male,2,own,NA,moderate,2427,18,business,good,True,True
978,47,male,1,own,little,NA,2538,24,car,bad,False,False
979,25,male,2,rent,moderate,moderate,1264,15,car,bad,False,True
980,49,male,2,own,little,moderate,8386,30,furniture/equipment,bad,False,False
981,33,male,3,rent,little,NA,4844,48,business,bad,False,False
982,28,female,3,own,moderate,rich,2923,21,car,good,True,True
983,26,male,2,own,little,little,8229,36,car,bad,False,False
984,30,male,1,own,little,NA,2028,24,furniture/equipment,good,False,True
985,25,female,2,rent,little,little,1433,15,furniture/equipment,good,True,True
986,33,male,2,own,little,rich,6289,42,business,good,False,True
987,64,female,2,own,moderate,NA,1409,13,radio/TV,good,True,True
988,29,male,3,free,little,little,6579,24,car,good,False,True
989,48,male,1,own,little,moderate,1743,24,radio/TV,good,True,True
990,37,male,1,own,NA,NA,3565,12,education,good,True,True
991,34,male,1,own,moderate,NA,1569,15,radio/TV,good,True,True
992,23,male,1,rent,NA,little,1936,18,radio/TV,good,True,True
993,30,male,3,own,little,little,3959,36,furniture/equipment,good,False,True
994,50,male,2,own,NA,NA,2390,12,car,good,True,True
995,31,female,1,own,little,NA,1736,12,furniture/equipment,good,True,True
996,40,male,3,own,little,little,3857,30,car,good,False,True
997,38,male,2,own,little,NA,804,12,radio/TV,good,True,True
998,23,male,2,free,little,little,1845,45,radio/TV,bad,False,False
999,27,male,2,own,moderate,moderate,4576,45,car,good,True,True
